,,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,aktuální kapacita,,základní cena,zlevněná cena,týdenní navýšení,celková kapacita
,#2269,AIRSOFT CAMP,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,3924,15,,4600,3300,39,24
,#2271,AIRSOFT CAMP,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3924,21,,4600,3300,39,24
,#2270,AIRSOFT CAMP,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2052,4,,2400,1700,22,4
,#2282,AIRSOFT CAMP,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,2052,6,,2400,1700,22,4
,#2272,AIRSOFT CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,3924,21,,4600,3300,39,24
,#2281,AIRSOFT CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2052,3,,2400,1700,22,4
,#2280,AIRSOFT CAMP,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,3924,21,,4600,3300,39,24
,#2279,AIRSOFT CAMP,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2052,6,,2400,1700,22,4
,#2278,AIRSOFT CAMP,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3924,22,,4600,3300,39,24
,#2277,AIRSOFT CAMP,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,2052,6,,2400,1700,22,4
,#2276,AIRSOFT CAMP,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,3924,29,,4600,3300,39,24
,#2275,AIRSOFT CAMP,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2052,3,,2400,1700,22,4
,#2274,AIRSOFT CAMP,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3924,19,,4600,3300,39,24
,#2273,AIRSOFT CAMP,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2052,3,,2400,1700,22,4
,#2285,MINI ARMY CAMP,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,19,,4100,2900,37,16
,#2287,MINI ARMY CAMP,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,5,,2100,1500,19,4
,#352,TÁBOR SEBEOBRANY,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,3924,16,,4600,3300,39,16
,#2289,TÁBOR SEBEOBRANY,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2052,4,,2400,1700,22,4
,#2314,SURVIVAL CAMP,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,3492,9,,4100,2900,37,17
,#2315,SURVIVAL CAMP,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,1804,4,,2100,1500,19,4
,#2332,PARKOUR CAMP,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,4356,34,,5100,3700,41,32
,#2330,PARKOUR CAMP,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,4356,10,,5100,3700,41,32
,#2328,PARKOUR CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4356,21,,5100,3700,41,32
,#2326,PARKOUR CAMP,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,4356,16,,5100,3700,41,32
,#2324,PARKOUR CAMP,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,4356,30,,5100,3700,41,32
,#2322,PARKOUR CAMP,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,4356,31,,5100,3700,41,32
,#2320,PARKOUR CAMP,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,4356,29,,5100,3700,41,32
,#2318,PARKOUR CAMP,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,4356,37,,5100,3700,41,32
,#2331,PARKOUR CAMP,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2300,5,,2700,1900,25,4
,#2329,PARKOUR CAMP,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,2300,4,,2700,1900,25,4
,#2327,PARKOUR CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2300,3,,2700,1900,25,4
,#2325,PARKOUR CAMP,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2300,6,,2700,1900,25,4
,#2323,PARKOUR CAMP,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,2300,4,,2700,1900,25,4
,#2321,PARKOUR CAMP,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,2300,4,,2700,1900,25,4
,#2317,PARKOUR CAMP,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2300,4,,2700,1900,25,4
,#2319,PARKOUR CAMP,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2300,5,,2700,1900,25,4
,#2333,SKATE CAMP,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,4356,13,,5100,3700,41,16
,#2334,SKATE CAMP,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2300,4,,2700,1900,25,4
,#2335,SKATE CAMP,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,4356,14,,5100,3700,41,16
,#2336,SKATE CAMP,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2300,5,,2700,1900,25,4
,#2338,SCOOTER CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4356,0,,5100,3700,41,32
,#2339,SCOOTER CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2300,5,,2700,1900,25,4
,#2340,SCOOTER CAMP,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,4356,13,,5100,3700,41,16
,#2341,SCOOTER CAMP,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2300,4,,2700,1900,25,4
,#2342,FOOTBALL CAMP,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3492,17,,4100,2900,37,16
,#2344,FOOTBALL CAMP,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,18,,4100,2900,37,16
,#2343,FOOTBALL CAMP,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1804,5,,2100,1500,19,4
,#2345,FOOTBALL CAMP,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,6,,2100,1500,19,4
,#2348,RYBÁŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3924,12,,4600,3300,39,16
,#2349,RYBÁŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,2052,4,,2400,1700,22,4
,#2350,RYBÁŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3924,16,,4600,3300,39,16
,#2351,RYBÁŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2052,4,,2400,1700,22,4
,#2353,ŘEMESLNÝ TÁBOR,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,10,,4100,2900,37,8
,#2354,ŘEMESLNÝ TÁBOR,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,5,,2100,1500,19,4
,#2357,MODELÁŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,3924,3,,4600,3300,39,8
,#2358,MODELÁŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2052,4,,2400,1700,22,4
,#2360,TÁBOR S RC MODELY,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,3924,16,,4600,3300,39,8
,#2361,TÁBOR S RC MODELY,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2052,5,,2400,1700,22,4
,#2365,LOLKO CAMP,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,12,,4100,2900,37,8
,#2366,LOLKO CAMP,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,3,,2100,1500,19,4
,#2385,FITNESS DANCE CAMP,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,4356,21,,5100,3700,41,16
,#2386,FITNESS DANCE CAMP,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,4356,17,,5100,3700,41,16
,#2388,FITNESS DANCE CAMP,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2300,6,,2700,1900,25,4
,#2387,FITNESS DANCE CAMP,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,2300,7,,2700,1900,25,4
,#2877,DANCEHALL CAMP,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,4356,18,,5100,3700,41,16
,#2876,DANCEHALL CAMP,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,2300,6,,2700,1900,25,4
,#3004,DANCEHALL CAMP,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,4356,16,,5100,3700,41,16
,#3003,DANCEHALL CAMP,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,2300,5,,2700,1900,25,4
,#2401,POLE DANCE CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2300,5,,2700,1900,25,4
,#2402,POLE DANCE CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4356,17,,5100,3700,41,8
,#2413,CONTEMPORARY DANCE CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),x,0,0,,,,,
,#2414,CONTEMPORARY DANCE CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),x,0,0,,,,,
,#2431,MAŽORETKOVÝ TÁBOR,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),x,3492,21,,4100,2900,37,0
,#2430,MAŽORETKOVÝ TÁBOR,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),x,1804,6,,2100,1500,19,0
,#3006,VOLEJBALOVÝ TÁBOR,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,22,,4100,2900,37,8
,#2419,VOLEJBALOVÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3492,22,,4100,2900,37,8
,#3005,VOLEJBALOVÝ TÁBOR,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,7,,2100,1500,19,4
,#2418,VOLEJBALOVÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,1804,5,,2100,1500,19,4
,#309,MODELINGOVÝ TÁBOR,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,3924,15,,4600,3300,39,8
,#2456,MODELINGOVÝ TÁBOR,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2052,3,,2400,1700,22,4
,#483,FILMOVÝ TÁBOR,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,4356,12,,5100,3700,41,8
,#2459,FILMOVÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,4356,8,,5100,3700,41,8
,#2460,FILMOVÝ TÁBOR,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2300,4,,2700,1900,25,4
,#2458,FILMOVÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2300,4,,2700,1900,25,4
,#464,YOUTUBE CAMP,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),x,0,0,,,,,0
,#2493,YOUTUBE CAMP,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),x,0,0,,,,,0
,#543,HUDEBNÍ TÁBOR,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,3924,16,,4600,3300,39,8
