,,,,,,,,,,,,,
,#3075,HUDEBNÍ TÁBOR,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,3924,16,,4600,3300,39,8
,#2473,HUDEBNÍ TÁBOR,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2052,4,,2400,1700,22,4
,#3074,HUDEBNÍ TÁBOR,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2052,5,,2400,1700,22,4
,#2505,VÝTVARNÝ TÁBOR,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3492,19,,4100,2900,37,16
,#2503,VÝTVARNÝ TÁBOR,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,17,,4100,2900,37,16
,#2504,VÝTVARNÝ TÁBOR,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1804,6,,2100,1500,19,4
,#359,VÝTVARNÝ TÁBOR,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,4,,2100,1500,19,4
,#2141,TÁBOR SE PSY,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3492,16,,4100,2900,37,16
,#2508,TÁBOR SE PSY,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,1,,4100,2900,37,24
,#2140,TÁBOR SE PSY,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1804,3,,2100,1500,19,4
,#2507,TÁBOR SE PSY,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,3,,2100,1500,19,4
,#2513,TÁBOR S MAZLÍČKY,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,3492,15,,4100,2900,37,16
,#2511,TÁBOR S MAZLÍČKY,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,9,,4100,2900,37,24
,#2512,TÁBOR S MAZLÍČKY,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,1804,5,,2100,1500,19,4
,#479,TÁBOR S MAZLÍČKY,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,6,,2100,1500,19,4
,#3643,JEZDECKÝ TÁBOR,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4110,13,,5100,3700,41,8
,#2435,JEZDECKÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3823,13,,5100,3700,41,8
,#3642,JEZDECKÝ TÁBOR,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2025,5,,2700,2025,25,4
,#2434,JEZDECKÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2025,4,,2700,1900,25,4
,#2522,TÁBOR NA FARMĚ,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2052,5,,2400,1700,22,4
,#2523,TÁBOR NA FARMĚ,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,3924,11,,4600,3300,39,16
,#2544,LYŽAŘSKÝ TÁBOR,Pec pod Sněžkou,Pobytový tábor,Velikonoce (29. 3. 2018 - 2. 4. 2018),x,3260,29,,4100,2900,60,0
,#2555,JARNÍ TÁBOR,Lanškroun,Pobytový tábor,květen (5. 5. 2018 - 8. 5. 2018),x,0,0,,,,,
,#2558,TÁBOR PRO NEJMENŠÍ,Lanškroun,Pobytový tábor,1. týden (30. 6. 2018 - 4. 7. 2018),aktivní,1900,19,,2490,1580,20,8
,#2559,TÁBOR PRO NEJMENŠÍ,Lanškroun,Příměstský tábor,1. týden (1. 7. 2018 - 3. 7. 2018),aktivní,1042,5,,1250,850,12,4
,#2562,TÁBOR PRO TEENAGERY,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),x,,20,,4050,,,20
,#2564,VŠEOBECNÝ TÁBOR,Sejfy u Trutnova,Příměstský tábor,2. týden (8. 7. 2018 - 13. 7. 2018),x,0,0,,,,,
,#2565,VŠEOBECNÝ TÁBOR,Sejfy u Trutnova,Pobytový tábor,2. týden (7. 7. 2018 - 14. 7. 2018),x,0,0,,,,,
,#569,VŠEOBECNÝ TÁBOR,Sejfy u Trutnova,Příměstský tábor,3. týden (15. 7. 2018 - 20. 7. 2018),x,0,0,,,,,
,#570,VŠEOBECNÝ TÁBOR,Sejfy u Trutnova,Pobytový tábor,3. týden (14. 7. 2018 - 21. 7. 2018),x,0,0,,,,,
,#2591,ADVENTURE CAMP,Pec pod Sněžkou,Pobytový tábor,6. týden (5. 8. 2018 - 10. 8. 2018),aktivní,3492,28,,4100,2900,37,16
,#2592,ADVENTURE CAMP,Pec pod Sněžkou,Pobytový tábor,5. týden (29. 7. 2018 - 3. 8. 2018),aktivní,3492,28,,4100,2900,37,16
,#2593,ADVENTURE CAMP,Pec pod Sněžkou,Pobytový tábor,3. týden (15. 7. 2018 - 20. 7. 2018),aktivní,3492,30,,4100,2900,37,16
,#2594,ADVENTURE CAMP,Pec pod Sněžkou,Pobytový tábor,2. týden (8. 7. 2018 - 13. 7. 2018),aktivní,3492,26,,4100,2900,37,16
,#2600,CYKLISTICKÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,1804,6,,2100,1500,19,4
,#2601,CYKLISTICKÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3492,13,,4100,2900,37,8
,#2604,LEZECKÝ TÁBOR,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),x,2052,3,,2400,1700,22,4
,#2605,LEZECKÝ TÁBOR,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),x,3924,15,,4600,3300,39,15
,#2632,VODÁCKÝ TÁBOR,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),x,3924,17,,4600,3300,39,17
,#2653,YACHTAŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4356,18,,5100,3700,41,8
,#2651,YACHTAŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,4356,16,,5100,3700,41,8
,#2652,YACHTAŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2300,4,,2700,1900,25,4
,#2650,YACHTAŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,2300,5,,2700,1900,25,4
,#2660,HASIČSKÝ TÁBOR,Lanškroun,Pobytový tábor,9. týden (26. 8. 2018 - 1. 9. 2018),aktivní,2880,33,,3500,2400,30,16
,#2661,HASIČSKÝ TÁBOR,Lanškroun,Příměstský tábor,9. týden (27. 8. 2018 - 31. 8. 2018),aktivní,1490,8,,1750,1250,15,4
,#3008,TÁBOR S ANGLIČTINOU,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,3924,16,,4600,3300,39,8
,#2664,TÁBOR S ANGLIČTINOU,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3924,14,,4600,3300,39,8
,#3007,TÁBOR S ANGLIČTINOU,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2052,5,,2400,1700,22,4
,#2663,TÁBOR S ANGLIČTINOU,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2052,4,,2400,1700,22,4
,#2681,FOTOGRAFICKÝ TÁBOR,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2052,5,,2400,1700,22,4
,#2682,FOTOGRAFICKÝ TÁBOR,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,3924,19,,4600,3300,39,8
,#2699,GEOCACHING CAMP,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3492,20,,4100,2900,37,16
,#2697,GEOCACHING CAMP,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,18,,4100,2900,37,16
,#2698,GEOCACHING CAMP,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1804,5,,2100,1500,19,4
,#2696,GEOCACHING CAMP,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,4,,2100,1500,19,4
,#363,TÁBOR DESKOVÝCH HER,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,1804,6,,2100,1500,19,4
,#2713,TÁBOR DESKOVÝCH HER,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,3492,17,,4100,2900,37,16
,#326,TÉMATICKÝ TÁBOR,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,6,,2100,1500,19,4
,#2747,TÉMATICKÝ TÁBOR,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,22,,4100,2900,37,16
,#2749,RELAXAČNÍ TÁBOR,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),x,0,0,,,,,
,#2750,RELAXAČNÍ TÁBOR,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),x,0,0,,,,,
,#2762,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,9. týden (27. 8. 2018 - 31. 8. 2018),aktivní,1490,10,,1750,1250,15,8
,#2763,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,1490,7,,1750,1250,15,8
,#2764,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,1490,8,,1750,1250,15,8
,#2765,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1490,10,,1750,1250,15,8
,#2766,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1490,9,,1750,1250,15,8
,#2767,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,1490,11,,1750,1250,15,8
,#2768,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,3. týden (15. 7. 2018 - 20. 7. 2018),aktivní,1490,11,,1750,1250,15,8
,#2769,LETNÍ ŠKOLKA,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1490,9,,1750,1250,15,8
,#2771,PODZIMNÍ TÁBOR,Lanškroun,Pobytový tábor,říjen (27. 10. 2018 - 30. 10. 2018),x,1490,33,,2100,1250,15,33
,#2772,PODZIMNÍ TÁBOR,Lanškroun,Pobytový tábor,září (28. 9. 2018 - 30. 9. 2018),x,1230,38,,1700,990,15,38
,#2781,TÁBOR PRO HANDICAPOVANÉ DĚTI,Lanškroun,Pobytový tábor,září (3. 9. 2018 - 7. 9. 2018),x,3492,33,,4100,2900,37,33
,#2782,TÁBOR PRO HANDICAPOVANÉ DĚTI,Lanškroun,Pobytový tábor,červen (25. 6. 2018 - 29. 6. 2018),x,3122,35,,4100,2900,37,35
,#2805,FITNESS DANCE CAMP,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 3. 8. 2018),aktivní,4356,30,,5100,3700,41,16
,#2806,FITNESS DANCE CAMP,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 27. 7. 2018),aktivní,4356,28,,5100,3700,41,16
,#486,TÁBOR PRO RODIČE S DĚTMI,Lanškroun,Pobytový tábor,6. týden (6. 8. 2018 - 10. 8. 2018),aktivní,3080,33,,3500,2600,30,16
,#2814,TÁBOR PRO RODIČE S DĚTMI,Lanškroun,Pobytový tábor,1. týden (4. 7. 2018 - 8. 7. 2018),aktivní,2300,26,,2700,1900,25,16
,#467,TÁBOR PRO DOSPĚLÉ,Lanškroun,Pobytový tábor,9. týden (27. 8. 2018 - 31. 8. 2018),aktivní,3080,19,,3600,2600,30,16
,#2815,TÁBOR PRO DOSPĚLÉ,Lanškroun,Pobytový tábor,1. týden (30. 6. 2018 - 4. 7. 2018),aktivní,2580,23,,3100,2100,30,16
,#2819,PÁRTY VÍKEND,Lanškroun,Pobytový tábor,září (14. 9. 2018 - 16. 9. 2018),aktivní,966,36,,1250,790,11,16
,#2821,TÁBOR PRO HANDICAPOVANÉ DOSPĚLÉ,Lanškroun,Pobytový tábor,září (3. 9. 2018 - 7. 9. 2018),x,3492,18,,4100,2900,37,18
,#2822,TÁBOR PRO HANDICAPOVANÉ DOSPĚLÉ,Lanškroun,Pobytový tábor,červen (25. 6. 2018 - 29. 6. 2018),x,3122,19,,4100,2900,37,19
,#366,Party camp – 4 dny (27. 8. 2017 – 30. 8. 2017),,,,x,,20,,1990,,,20
,#546,Příměstský Lanškroun – 6. týden (6. 8. 2017 – 13. 8. 2017),,,,x,,20,,1950,,,20
,#547,Příměstský Lanškroun – 5. týden (30. 7. 2017 – 6. 8. 2017),,,,x,,20,,1950,,,20
,#548,Příměstský Lanškroun – 4. týden (23. 7. 2017 – 30. 7. 2017),,,,x,,20,,1950,,,20
,#549,Příměstský Lanškroun – 3. týden (16. 7. 2017 – 23. 7. 2017),,,,x,,20,,1950,,,20
,#550,Příměstský Lanškroun – 2. týden (9. 7. 2017 – 16. 7. 2017),,,,x,,20,,1950,,,20
,#551,Příměstský Lanškroun – 1. týden (2. 7. 2017 – 9. 7. 2017),,,,x,,20,,1950,,,20
,#602,Příměstský Trutnov,,,,x,,40,,1950,,,40
,#603,Příměstský Trutnov,,,,x,,39,,1950,,,39
,#604,Příměstský Trutnov,,,,x,,40,,1950,,,40